ID,Name,Rating,Description,Address,Phone_Number,Website
10006781,Windsors Heswall,4.3,"Delivering exceptional service, Sourcing quality used cars ,  Family business since 1919","Milner Road, Wirral, Merseyside, CH60 5RZ",(0151)-382-4265,www.windsors.uk.com
10015176,Vanquish Trade Cars,5.0,,"High Street, Woolton, Liverpool, Merseyside, L25 7TB",(0151)-382-6229,www.vanquishtradecars.co.uk
10039164,Heswall Car Sales,5.0,,"Unit 10, Leighton Business Park, Chester Road, Heswall, Wirral, Merseyside, CH60 3RZ",(07383)-915211,www.heswallcarsales.co.uk
12467,J Stuart & Co. (Garages) Limited,5.0,,"Leighton House, Leighton Business Park, Chester Road, Heswall, Wirral, CH60 3RZ",(0151)-382-7158,jstuart.co.uk
10023361,Heatherland Garage Services,5.0," 22 years in business,  Family owned business , AFTERSALES","CHESTER ROAD, HESWALL, Wirral, Merseyside, CH60 3SE",(0151)-382-8064,
676632,Ince Blundell Garages,4.8,"WE CATER FOR ALL CREDIT TYPES , OUTSTANDING AFTERSALES ,  TRADING FOR 45 YEARS","73 Scaffold Lane, Liverpool, Merseyside, L38 1QA",(0151)-382-7224,www.inceblundell.com
10029520,AMBER CAR SALES LTD,5.0,,"27 Triumph Way, Liverpool, Lancashire, L24 9GQ",(07537)-124204,www.ambercarsales.co.uk
10045438,RM Car Sales,5.0,"Buy With Confidence, We Only Sell Top Quality Cars,  Over 20 Years Experience ","RM Car Sales, Triumph Way, Hunts Cross, Liverpool, Merseyside, L24 9GQ",(0151)-382-9243,
8006,Eastham Motors,4.9," Established over 50 years ,  Knowledgeable & courteous team, Finance available on all cars","1247 New Chester Road, Eastham, Wirral, Merseyside, CH62 0AA",(0151)-382-3138,www.easthammotors.co.uk
10010481,MTC Northwest Ltd,0.0," Trading for over 40 years,  Truck & Van Sales, MOT & Servicing available","GORES ROAD, KNOWSLEY INDUSTRIAL PARK, Liverpool, Lancashire, L33 7XS",(07441)-918367,www.mtcnorthwest.co.uk
22066,Hamlet Motor Company,4.9,,"Chester High Road, Neston, South Wirral, CH64 3RY",(0151)-382-7866,www.hamletmotors.co.uk
10031794,HD Cars and Commercials (Liverpool) Ltd,4.8,"WE OFFER NATIONWIDE DELIVERY ,  FEEL WELCOME AT HD CARS , FRESH SERVICES & LONG MOT","Liverpool, Lancashire,",(0151)-353-9804,hdcars.co.uk
10027761,RIVERSIDE AUTO SALES,4.2,,"BRIDGE HOUSE, SPEKE HALL ROAD, Liverpool, Lancashire, L24 9HA",(0151)-382-0472,www.riverside-autosales.co.uk
328523,Peoples Van Centre Liverpool,5.0," Try Before You Buy, Personalised Videos, Reserve Online for £99","Speke Hall Road, Speak, Liverpool, Merseyside, L24 9HQ",(0151)-382-7129,www.peoplescars.co.uk
